,State,Crop_Year,Crop,Annual_Rainfall,Yield
0,Andhra Pradesh,1997,RiceRice,1855.0,4.63173913
1,Andhra Pradesh,1998,RiceRice,2096.6,5.456086957
2,Andhra Pradesh,1999,RiceRice,1300.8,5.130869564999999
3,Andhra Pradesh,2000,RiceRice,1871.2,5.639090909
4,Andhra Pradesh,2001,RiceRice,1856.8,5.653181818
5,Andhra Pradesh,2002,RiceRice,1296.2,4.736363637
6,Andhra Pradesh,2003,RiceRice,1652.0,5.4
7,Andhra Pradesh,2004,RiceRice,1563.6,5.550454545
8,Andhra Pradesh,2005,RiceRice,2151.0,5.681363636
9,Andhra Pradesh,2006,RiceRice,1690.4,5.725909091
10,Andhra Pradesh,2007,RiceRice,2008.4,6.253636364
11,Andhra Pradesh,2008,RiceRice,1889.2,6.150454546
12,Andhra Pradesh,2009,RiceRice,1422.0,5.889545455
13,Andhra Pradesh,2010,RiceRice,2594.0,5.992727273
14,Andhra Pradesh,2011,RiceRice,1723.8,5.940909091
15,Andhra Pradesh,2012,RiceRice,1937.4,6.213181819
16,Andhra Pradesh,2013,RiceRice,2124.6,6.123846153000001
17,Andhra Pradesh,2014,RiceRice,1375.2,6.726153847
18,Andhra Pradesh,2015,RiceRice,1881.4,6.763076924
19,Andhra Pradesh,2016,RiceRice,1780.0,7.08923077
20,Andhra Pradesh,2017,RiceRice,1736.4,7.137692308
21,Andhra Pradesh,2018,RiceRice,2441.0,6.963076923
22,Andhra Pradesh,2019,RiceRice,1798.4,7.390769231
23,Arunachal Pradesh,1997,Rice,2274.9,1.06
24,Arunachal Pradesh,1998,Rice,3616.7,0.965384615
25,Arunachal Pradesh,1999,Rice,2338.6,1.097692308
26,Arunachal Pradesh,2000,Rice,2157.7,1.066153846
27,Arunachal Pradesh,2001,Rice,2128.5,1.135384615
28,Arunachal Pradesh,2002,Rice,2832.8,1.182666667
29,Arunachal Pradesh,2003,Rice,2782.2,1.201333333
30,Arunachal Pradesh,2004,Rice,2939.5,1.080625
31,Arunachal Pradesh,2005,Rice,2767.0,1.16125
32,Arunachal Pradesh,2006,Rice,1940.0,1.151875
33,Arunachal Pradesh,2007,Rice,3223.9,1.225625
34,Arunachal Pradesh,2008,Rice,2244.4,1.183125
35,Arunachal Pradesh,2009,Rice,1701.9,1.12
36,Arunachal Pradesh,2010,Rice,2574.1,1.219375
37,Arunachal Pradesh,2011,Rice,2193.7,1.21875
38,Arunachal Pradesh,2012,Rice,2760.7,1.308125
39,Arunachal Pradesh,2013,Rice,2042.9,1.300588235
40,Arunachal Pradesh,2014,Rice,2403.2,1.447058824
41,Arunachal Pradesh,2015,Rice,2593.2,2.0875
42,Arunachal Pradesh,2016,Rice,2933.7,1.606
43,Arunachal Pradesh,2017,Rice,2745.5,1.6915
44,Arunachal Pradesh,2018,Rice,2992.9,1.737727273
45,Arunachal Pradesh,2019,Rice,2433.3,1.7792
46,Assam,1997,RiceRiceRice,6154.200000000001,2.782608696
47,Assam,1998,RiceRiceRice,7063.200000000001,4.136521739
48,Assam,1999,RiceRiceRice,6605.400000000001,4.58652174
49,Assam,2000,RiceRiceRice,5896.5,4.604347826
50,Assam,2001,RiceRiceRice,5474.1,4.527391305
51,Assam,2002,RiceRiceRice,5920.799999999999,4.416521739
52,Assam,2003,RiceRiceRice,6641.099999999999,4.231304347
53,Assam,2004,RiceRiceRice,7610.700000000001,4.117826087
54,Assam,2005,RiceRiceRice,6553.799999999999,4.2725071230000005
55,Assam,2006,RiceRiceRice,5324.700000000001,4.134444444
56,Assam,2007,RiceRiceRice,6462.299999999999,4.5381481489999995
57,Assam,2008,RiceRiceRice,6329.700000000001,4.6763390309999995
58,Assam,2009,RiceRiceRice,5181.299999999999,4.755185186
59,Assam,2010,RiceRiceRice,7735.5,5.573703704
60,Assam,2011,RiceRiceRice,5230.200000000001,5.555170941
61,Assam,2012,RiceRiceRice,6502.5,6.03277037
62,Assam,2013,RiceRiceRice,5393.1,6.024814815
63,Assam,2014,RiceRiceRice,5697.0,6.122336182
64,Assam,2015,RiceRiceRice,6465.900000000001,5.852891738
65,Assam,2016,RiceRiceRice,6890.400000000001,5.81454416
66,Assam,2017,RiceRiceRice,6295.690908,6.1864672370000005
67,Assam,2018,RiceRiceRice,7118.700000000001,6.287592592999999
68,Assam,2019,RiceRiceRice,6254.099999999999,6.094159544
69,Bihar,1997,RiceRiceRice,3911.1000000000004,4.13987384
70,Bihar,1998,RiceRice,2665.0,3.008686869
71,Bihar,1999,RiceRice,2805.4,2.762333334
72,Bihar,2000,RiceRiceRice,3621.0,4.300479511000001
73,Bihar,2001,RiceRiceRice,3741.0,4.300368277
74,Bihar,2002,RiceRiceRice,3317.3999999999996,4.032177473
75,Bihar,2003,RiceRiceRiceRice,5415.6,5.342625313
76,Bihar,2004,RiceRiceRice,3443.3999999999996,2.872660818
77,Bihar,2005,RiceRiceRice,2723.3999999999996,3.302513158
78,Bihar,2006,RiceRiceRice,3158.3999999999996,3.896855626
79,Bihar,2007,RiceRiceRice,4800.6,3.2944561410000004
80,Bihar,2008,RiceRiceRice,3593.1000000000004,4.417134302
81,Bihar,2009,RiceRiceRice,2667.8999999999996,3.503276316
82,Bihar,2010,RiceRiceRice,1887.6000000000001,3.72677005
83,Bihar,2011,RiceRiceRice,3291.2999999999997,5.774543617
84,Bihar,2012,RiceRiceRice,2772.3,6.707774797
85,Bihar,2013,RiceRiceRice,3209.7000000000003,5.713000000000001
86,Bihar,2014,RiceRiceRice,3183.0,6.335993381
87,Bihar,2015,RiceRiceRice,2622.0,6.041528822
88,Bihar,2016,RiceRiceRice,3616.7999999999997,6.800539810999999
89,Bihar,2017,RiceRiceRice,3336.0,6.282866949000001
90,Bihar,2018,RiceRiceRice,4564.200000000001,5.4537559810000005
91,Bihar,2019,RiceRiceRice,3584.1000000000004,6.075598371
92,Chhattisgarh,2000,Rice,896.4,0.6575
93,Chhattisgarh,2001,Rice,1550.0,1.34375
94,Chhattisgarh,2002,Rice,1001.4,0.710625
95,Chhattisgarh,2003,Rice,1643.7,1.4375
96,Chhattisgarh,2004,Rice,1122.8,1.160625
97,Chhattisgarh,2005,Rice,1292.7,1.30375
98,Chhattisgarh,2006,Rice,1317.2,1.247222222
99,Chhattisgarh,2007,Rice,1246.2,1.393888889
100,Chhattisgarh,2008,Rice,1117.9,1.198333333
101,Chhattisgarh,2009,Rice,956.9,1.106666667
102,Chhattisgarh,2010,Rice,1283.1,1.702222222
103,Chhattisgarh,2011,Rice,1302.7,1.527777778
104,Chhattisgarh,2012,Rice,1366.8,1.91962963
105,Chhattisgarh,2013,Rice,1418.3,1.75037037
106,Chhattisgarh,2014,Rice,1274.7,1.92962963
107,Chhattisgarh,2015,Rice,1136.0,1.21962963
108,Chhattisgarh,2016,Rice,1298.9,2.076666667
109,Chhattisgarh,2017,Rice,1124.5,1.386296296
110,Chhattisgarh,2018,Rice,1515.5,1.521481481
111,Chhattisgarh,2019,Rice,1420.3,1.936428571
112,Delhi,1998,Rice,784.5,1.48
113,Delhi,1999,Rice,365.9,1.89
114,Delhi,2000,Rice,544.3,1.89
115,Delhi,2001,Rice,611.9,1.88
116,Delhi,2002,Rice,593.6,2.12
117,Delhi,2003,Rice,962.3,2.73
118,Delhi,2004,Rice,651.9,3.35
119,Delhi,2005,Rice,653.1,2.81
120,Delhi,2006,Rice,462.7,2.82
121,Delhi,2007,Rice,677.5,2.82
122,Delhi,2008,Rice,614.6,2.82
123,Delhi,2009,Rice,528.4,2.79
124,Delhi,2010,Rice,989.5,2.79
125,Delhi,2011,Rice,641.3954545,2.79
126,Delhi,2012,Rice,451.9,3.26
127,Delhi,2013,Rice,706.8,3.26
128,Delhi,2014,Rice,416.4,2.86
129,Delhi,2015,Rice,757.7,2.86
130,Delhi,2016,Rice,747.1,2.89
131,Delhi,2017,Rice,533.7,2.88
132,Delhi,2018,Rice,678.5,2.88
133,Delhi,2019,Rice,546.9,3.01
134,Goa,1997,RiceRice,7360.6,5.66
135,Goa,1998,RiceRice,5929.8,5.58
136,Goa,1999,RiceRice,7758.6,5.07
137,Goa,2000,RiceRice,7773.8,5.17
138,Goa,2001,RiceRice,5061.2,5.26
139,Goa,2002,RiceRice,5032.6,5.390000000000001
140,Goa,2003,RiceRice,6023.2,6.42
141,Goa,2004,Rice,2518.0,2.75
142,Goa,2005,Rice,3392.8,2.81
143,Goa,2006,Rice,2928.8,2.41
144,Goa,2007,Rice,3674.7,2.32
145,Goa,2008,RiceRice,6543.2,5.08
146,Goa,2009,RiceRice,6669.8,4.465
147,Goa,2010,RiceRice,8386.6,5.03
148,Goa,2011,RiceRice,6680.79091,5.195
149,Goa,2012,RiceRice,6097.8,5.4399999999999995
150,Goa,2013,RiceRice,7285.2,6.025
151,Goa,2014,RiceRice,6982.4,5.699999999999999
152,Goa,2015,RiceRice,5174.2,5.59
153,Goa,2016,RiceRice,6533.8,5.54
154,Goa,2017,RiceRice,5545.0,5.49
155,Goa,2018,RiceRice,8812.0,5.44
156,Goa,2019,RiceRice,8979.0,5.425000000000001
157,Gujarat,1997,Rice,798.9,1.665
158,Gujarat,1998,Rice,775.6,1.695384615
159,Gujarat,1999,Rice,458.9,1.510714286
160,Gujarat,2000,RiceRice,759.4,4.4025
161,Gujarat,2001,RiceRice,1333.0,4.468571429
162,Gujarat,2002,RiceRice,916.8,5.739230769000001
163,Gujarat,2003,RiceRice,1805.0,5.278214286
164,Gujarat,2004,RiceRice,1439.6,4.416916667
165,Gujarat,2005,RiceRice,1884.8,4.897569444
166,Gujarat,2006,RiceRice,2112.4,4.457430556
167,Gujarat,2007,RiceRice,2043.2,4.875833333
168,Gujarat,2008,RiceRice,1492.2,4.536405229
169,Gujarat,2009,RiceRice,1236.0,4.727973856
170,Gujarat,2010,RiceRice,2215.0,4.815277778
171,Gujarat,2011,RiceRice,1781.0,5.073888889
172,Gujarat,2012,RiceRice,921.2,4.923
173,Gujarat,2013,RiceRice,2013.0,5.073048129
174,Gujarat,2014,RiceRice,1211.2,5.011535088
175,Gujarat,2015,RiceRice,1168.6,5.097056277
176,Gujarat,2016,RiceRice,1421.0,5.207833333
177,Gujarat,2017,RiceRice,1629.6,4.695357143000001
178,Gujarat,2018,RiceRice,2250.8,4.807153846
179,Gujarat,2019,RiceRice,2135.6,4.797142858
180,Haryana,1997,Rice,661.2,2.730588235
181,Haryana,1998,Rice,687.6,2.286666667
182,Haryana,1999,Rice,344.0,2.235
183,Haryana,2000,Rice,383.7,2.443157895
184,Haryana,2001,Rice,483.8,2.645555556
185,Haryana,2002,Rice,353.9,2.495
186,Haryana,2003,Rice,592.3,2.733333333
187,Haryana,2004,Rice,484.6,2.832777778
188,Haryana,2005,Rice,516.9,2.940526316
189,Haryana,2006,Rice,329.3,2.8545
190,Haryana,2007,Rice,443.8,3.191578947
191,Haryana,2008,Rice,715.6,2.569
192,Haryana,2009,Rice,393.0,2.673809524
193,Haryana,2010,Rice,639.2,2.561428571
194,Haryana,2011,Rice,471.5409091,2.63047619
195,Haryana,2012,Rice,307.9,3.041
196,Haryana,2013,Rice,452.2,3.112
197,Haryana,2014,Rice,301.3,2.9465
198,Haryana,2015,Rice,426.8,2.963
199,Haryana,2016,Rice,554.7,2.9505
200,Haryana,2017,Rice,417.1,3.096190476
201,Haryana,2018,Rice,533.2,2.94952381
202,Haryana,2019,Rice,351.8,3.048095238
203,Himachal Pradesh,1998,Rice,1381.6,1.455454545
204,Himachal Pradesh,1999,Rice,1144.9,1.55
205,Himachal Pradesh,2000,Rice,1068.4,1.55
206,Himachal Pradesh,2001,Rice,918.1,1.654545455
207,Himachal Pradesh,2002,Rice,890.8,1.133636364
208,Himachal Pradesh,2003,Rice,1112.6,1.469090909
209,Himachal Pradesh,2004,Rice,939.2,1.454545455
210,Himachal Pradesh,2005,Rice,1248.1,1.396363636
211,Himachal Pradesh,2006,Rice,1207.0,1.750909091
212,Himachal Pradesh,2007,Rice,1095.4,1.686363636
213,Himachal Pradesh,2008,Rice,1357.1,1.6
214,Himachal Pradesh,2009,Rice,969.9,1.484545455
215,Himachal Pradesh,2010,Rice,1319.8,1.561818182
216,Himachal Pradesh,2011,Rice,1108.3,1.545454545
217,Himachal Pradesh,2012,Rice,1035.0,1.577272727
218,Himachal Pradesh,2013,Rice,1216.9,1.565454545
219,Himachal Pradesh,2014,Rice,1019.9,1.72
220,Himachal Pradesh,2015,Rice,1223.2,1.612727273
221,Himachal Pradesh,2016,Rice,1373.9,1.559090909
222,Himachal Pradesh,2017,Rice,1182.2,1.618181818
223,Himachal Pradesh,2018,Rice,1052.2,1.623636364
224,Himachal Pradesh,2019,Rice,1217.7,1.656363636
225,Jammu and Kashmir,1997,Rice,1356.2,0.016666667
226,Jammu and Kashmir,1999,Rice,667.1,1.489166667
227,Jammu and Kashmir,2000,Rice,989.5,1.6
228,Jammu and Kashmir,2001,Rice,953.8,1.634166667
229,Jammu and Kashmir,2002,Rice,933.2,1.708333333
230,Jammu and Kashmir,2003,Rice,1430.3,1.870833333
231,Jammu and Kashmir,2004,Rice,1032.1,1.838333333
232,Jammu and Kashmir,2005,Rice,1721.8,2.040833333
233,Jammu and Kashmir,2006,Rice,1786.5,2.060833333
234,Jammu and Kashmir,2007,Rice,1042.2,1.9745
235,Jammu and Kashmir,2009,Rice,751.7,1.859
236,Jammu and Kashmir,2010,Rice,1352.0,1.874
237,Jammu and Kashmir,2011,Rice,887.6,2.0225
238,Jammu and Kashmir,2012,Rice,1116.7,1.8875
239,Jammu and Kashmir,2014,Rice,1278.4,1.098947368
240,Jammu and Kashmir,2015,Rice,1572.6,2.05
241,Jammu and Kashmir,2016,Rice,902.8,2.0255
242,Jammu and Kashmir,2017,Rice,1279.1,2.31
243,Jammu and Kashmir,2018,Rice,1016.3,2.35
244,Jammu and Kashmir,2019,Rice,1324.1,2.0755
245,Jharkhand,2002,RiceRice,2082.4,2.578888889
246,Jharkhand,2003,RiceRice,2516.6,1.738636364
247,Jharkhand,2004,RiceRice,2298.4,1.564
248,Jharkhand,2005,RiceRice,1930.4,1.0892207790000001
249,Jharkhand,2006,RiceRice,2930.2,2.482727273
250,Jharkhand,2007,RiceRice,2889.4,2.205411255
251,Jharkhand,2008,RiceRice,2590.4,2.259945652
252,Jharkhand,2009,RiceRice,1992.2,1.101467391
253,Jharkhand,2011,RiceRice,2749.4,2.345905797
254,Jharkhand,2012,RiceRice,2204.0,2.099637681
255,Jharkhand,2013,RiceRice,2507.2,2.276865942
256,Jharkhand,2014,RiceRice,2313.2,2.426666667
257,Jharkhand,2015,RiceRice,2171.2,1.269456522
258,Jharkhand,2016,RiceRice,2592.6,3.1636666669999998
259,Jharkhand,2017,Rice,1165.7,2.023333333
260,Jharkhand,2018,Rice,1222.7,1.817916667
261,Jharkhand,2019,Rice,1137.8,2.663333333
262,Karnataka,1997,RiceRiceRice,3800.1000000000004,7.136790597999999
263,Karnataka,1998,RiceRiceRice,3782.3999999999996,7.358776455
264,Karnataka,1999,RiceRiceRice,3611.3999999999996,7.105848677
265,Karnataka,2000,RiceRiceRice,3639.8999999999996,7.1733271400000005
266,Karnataka,2001,RiceRiceRice,3008.7,6.432329101
267,Karnataka,2002,RiceRiceRice,2582.3999999999996,6.4138518520000005
268,Karnataka,2003,RiceRiceRice,2602.8,8.902133333
269,Karnataka,2004,RiceRiceRice,3353.1000000000004,10.010333334
270,Karnataka,2005,RiceRiceRice,3948.6000000000004,7.79152963
271,Karnataka,2006,RiceRiceRice,3438.8999999999996,7.4459814810000005
272,Karnataka,2007,RiceRiceRice,3969.8999999999996,7.6698426170000005
273,Karnataka,2008,RiceRiceRice,3492.2999999999997,7.8145380200000005
274,Karnataka,2009,RiceRiceRice,3963.0,7.621520778
275,Karnataka,2010,RiceRiceRice,3953.1000000000004,8.258047619
276,Karnataka,2011,RiceRiceRice,3536.959092,8.012277056
277,Karnataka,2012,RiceRiceRice,2868.6000000000004,7.560726496
278,Karnataka,2013,RiceRiceRice,3706.7999999999997,8.361462963000001
279,Karnataka,2014,RiceRiceRice,3715.5,8.158179487
280,Karnataka,2015,RiceRiceRice,3074.7000000000003,7.767864469
281,Karnataka,2016,RiceRiceRice,3441.6000000000004,7.907692308
282,Karnataka,2017,RiceRiceRice,3335.1000000000004,8.736780627
283,Karnataka,2018,RiceRiceRice,4257.299999999999,8.045033333
284,Karnataka,2019,RiceRiceRice,4266.9,8.674049261
285,Kerala,1998,RiceRiceRice,9454.5,5.91021978
286,Kerala,1999,RiceRiceRice,8743.8,6.471538462
287,Kerala,2000,RiceRiceRice,7237.799999999999,6.211318681
288,Kerala,2001,RiceRiceRice,8840.099999999999,6.191923077
289,Kerala,2002,RiceRiceRice,7533.599999999999,6.466483517
290,Kerala,2003,RiceRiceRice,7158.0,5.946483517
291,Kerala,2004,RiceRiceRice,8640.599999999999,6.704175825
292,Kerala,2005,RiceRiceRice,9092.7,6.631923077
293,Kerala,2006,RiceRiceRice,10289.099999999999,7.055054945
294,Kerala,2007,RiceRiceRice,10468.8,6.658571429
295,Kerala,2008,RiceRiceRice,7574.400000000001,7.002527472000001
296,Kerala,2009,RiceRiceRice,8464.5,6.974505494
297,Kerala,2010,RiceRiceRice,9395.400000000001,6.919065934000001
298,Kerala,2011,RiceRiceRice,9105.3,7.427967033
299,Kerala,2012,RiceRiceRice,6562.799999999999,7.247142857
300,Kerala,2013,RiceRiceRice,9766.2,7.596923077
301,Kerala,2014,RiceRiceRice,9139.2,7.517527472
302,Kerala,2015,RiceRiceRice,7808.700000000001,7.368406594
303,Kerala,2016,RiceRiceRice,8772.900000000001,7.161043956
304,Kerala,2017,RiceRiceRice,7994.400000000001,7.434835166
305,Kerala,2018,RiceRiceRice,8969.099999999999,7.3396703290000005
306,Kerala,2019,RiceRiceRice,9357.599999999999,7.268516483999999
307,Madhya Pradesh,1998,Rice,962.7,0.586785714
308,Madhya Pradesh,1999,Rice,1222.9,1.110508475
309,Madhya Pradesh,2000,Rice,723.3,0.613555556
310,Madhya Pradesh,2001,Rice,955.0,0.849333333
311,Madhya Pradesh,2002,Rice,800.8,0.608
312,Madhya Pradesh,2003,Rice,1163.0,0.997916667
313,Madhya Pradesh,2004,Rice,895.7,0.803541667
314,Madhya Pradesh,2005,Rice,1032.7,0.881041667
315,Madhya Pradesh,2006,Rice,1072.3,0.856666667
316,Madhya Pradesh,2007,Rice,740.4,0.875
317,Madhya Pradesh,2008,Rice,895.0,0.911020408
318,Madhya Pradesh,2009,Rice,904.1,0.906041667
319,Madhya Pradesh,2010,Rice,856.3,1.211666667
320,Madhya Pradesh,2011,Rice,852.6,1.400416667
321,Madhya Pradesh,2012,Rice,1049.5,1.631041667
322,Madhya Pradesh,2013,Rice,1451.4,1.410204082
323,Madhya Pradesh,2014,Rice,891.2,1.663488372
324,Madhya Pradesh,2015,Rice,1000.7,1.701904762
